,Player_Name,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,Games,Games_Strated,Minutes_Played,ORB,PF,PTS,Position,STL,TOV,TRB,Team,eFG%
0,Shareef Abdur-Rahim,327,.536,610,5,.227,22,149,29,42,251,332,.525,632,218,.784,278,72,30,1961,106,227,887,PF,48,108,357,SAC,.529
1,Alex Acker,3,.273,11,1,.200,5,4,23,0,4,4,.250,16,0,,0,5,0,35,1,4,9,SG,1,4,5,DET,.281
2,Malik Allen,120,.488,246,1,1.000,1,20,27,16,96,121,.490,247,23,.605,38,54,20,701,44,92,266,PF,14,34,140,CHI,.492
3,Ray Allen,412,.486,847,269,.412,653,286,30,16,261,681,.454,1500,324,.903,359,78,78,3022,71,151,1955,SG,105,188,332,SEA,.544
4,Tony Allen,118,.492,240,11,.324,34,67,24,18,79,129,.471,274,100,.746,134,51,9,978,32,126,369,PG,51,67,111,BOS,.491
5,Rafer Alston,178,.418,426,102,.327,312,425,29,15,219,280,.379,738,99,.692,143,63,63,2431,36,194,761,PG,101,157,255,HOU,.449
6,Chris Andersen,56,.571,98,0,,0,6,27,41,94,56,.571,98,49,.476,103,32,2,570,61,84,161,C,8,26,155,NOK,.571
7,Alan Anderson,51,.415,123,24,.414,58,32,23,4,47,75,.414,181,33,.805,41,36,7,564,23,48,207,SF,11,32,70,CHA,.481
8,Derek Anderson,68,.402,169,40,.299,134,101,31,6,122,108,.356,303,93,.838,111,43,11,1047,21,98,349,SG,23,54,143,TOT,.422
9,Shandon Anderson,49,.458,107,5,.263,19,30,32,6,63,54,.429,126,13,.722,18,48,1,638,18,75,126,SF,17,24,81,MIA,.448
10,Martynas Andriuskevicius,0,.000,1,0,,0,0,19,0,3,0,.000,1,0,,0,6,0,9,1,1,0,C,2,0,4,CLE,.000
11,Carmelo Anthony,719,.506,1420,37,.243,152,216,21,42,272,756,.481,1572,573,.808,709,80,80,2941,122,229,2122,SF,88,218,394,DEN,.493
