match_id,date,home_team,home_team_score,visit_team,visit_team_score
281028002,2009-10-28,bos,90,cle,85
281031002,2009-10-31,bos,96,chi,80
281101011,2009-11-01,ind,95,bos,79
281104010,2009-11-04,hou,99,bos,103
281105025,2009-11-05,okc,83,bos,96
281107002,2009-11-07,bos,101,mil,89
281109008,2009-11-09,det,76,bos,88
281110002,2009-11-10,bos,94,tor,87
281112002,2009-11-12,bos,103,atl,102
281114002,2009-11-14,bos,85,den,94
281115015,2009-11-15,mil,97,bos,102
281118002,2009-11-18,bos,110,ny,101
281120002,2009-11-20,bos,98,det,80
281121016,2009-11-21,min,78,bos,95
281123028,2009-11-23,tor,103,bos,118
281126002,2009-11-26,bos,119,gs,111
281128002,2009-11-28,bos,102,phi,78
281129030,2009-11-29,cha,84,bos,89
281201002,2009-12-01,bos,107,orl,88
281203002,2009-12-03,bos,114,ind,96
281205002,2009-12-05,bos,93,por,78
281207011,2009-12-07,ind,117,bos,122
281211027,2009-12-11,wsh,88,bos,122
281212002,2009-12-12,bos,94,no,82
281215002,2009-12-15,bos,100,utah,91
281217001,2009-12-17,atl,85,bos,88
281219002,2009-12-19,bos,126,chi,108
281221002,2009-12-21,bos,124,ny,105
281223002,2009-12-23,bos,110,phi,91
281225013,2009-12-25,lal,92,bos,83
281226009,2009-12-26,gs,99,bos,89
281228023,2009-12-28,sac,63,bos,108
281230022,2009-12-30,por,91,bos,86
290102002,2009-01-02,bos,108,wsh,83
290104018,2009-01-04,ny,100,bos,88
290106030,2009-01-06,cha,114,bos,106
290107002,2009-01-07,bos,85,hou,89
290109005,2009-01-09,cle,98,bos,83
290111028,2009-01-11,tor,88,bos,94
290112002,2009-01-12,bos,115,tor,109
290114002,2009-01-14,bos,118,bkn,86
290117017,2009-01-17,bkn,85,bos,105
290119002,2009-01-19,bos,104,phx,87
290121014,2009-01-21,mia,83,bos,98
290122019,2009-01-22,orl,80,bos,90
290125002,2009-01-25,bos,124,dal,100
290128002,2009-01-28,bos,119,sac,100
290130008,2009-01-30,det,78,bos,86
290201002,2009-02-01,bos,109,min,101
290203020,2009-02-03,phi,99,bos,100
290205002,2009-02-05,bos,109,lal,110
290206018,2009-02-06,ny,100,bos,110
290208002,2009-02-08,bos,99,sa,105
290211003,2009-02-11,no,77,bos,89
290212006,2009-02-12,dal,92,bos,99
290219026,2009-02-19,utah,90,bos,85
290222021,2009-02-22,phx,108,bos,128
290223007,2009-02-23,den,76,bos,114
290225012,2009-02-25,lac,93,bos,91
290227002,2009-02-27,bos,104,ind,99
290301002,2009-03-01,bos,95,det,105
290304017,2009-03-04,bkn,111,bos,115
290306002,2009-03-06,bos,105,cle,94
290308002,2009-03-08,bos,79,orl,86
290311014,2009-03-11,mia,107,bos,99
290313002,2009-03-13,bos,102,mem,92
290315015,2009-03-15,mil,86,bos,77
290317004,2009-03-17,chi,127,bos,121
290318002,2009-03-18,bos,112,mia,108
290320024,2009-03-20,sa,77,bos,80
290321029,2009-03-21,mem,87,bos,105
290323002,2009-03-23,bos,90,lac,77
290325019,2009-03-25,orl,84,bos,82
290327001,2009-03-27,atl,93,bos,99
290329002,2009-03-29,bos,103,okc,84
290401002,2009-04-01,bos,111,cha,109
290403002,2009-04-03,bos,104,atl,92
290408002,2009-04-08,bos,106,bkn,104
290410002,2009-04-10,bos,105,mia,98
290412005,2009-04-12,cle,107,bos,76
290414020,2009-04-14,phi,98,bos,100
290415002,2009-04-15,bos,115,wsh,107
281029027,2009-10-29,wsh,85,bkn,95
281101017,2009-11-01,bkn,97,gs,105
281104017,2009-11-04,bkn,86,phx,114
281107017,2009-11-07,bkn,103,det,96
281108011,2009-11-08,ind,98,bkn,80
281110014,2009-11-10,mia,99,bkn,94
281112017,2009-11-12,bkn,87,ind,98
281114017,2009-11-14,bkn,115,atl,108
281115001,2009-11-15,atl,107,bkn,119
281118017,2009-11-18,bkn,82,cle,106
281121028,2009-11-21,tor,127,bkn,129
281122017,2009-11-22,bkn,112,lac,95
281125013,2009-11-25,lal,120,bkn,93
281126023,2009-11-26,sac,114,bkn,116
281129026,2009-11-29,utah,88,bkn,105
281130021,2009-11-30,phx,109,bkn,117
281202017,2009-12-02,bkn,88,wsh,108
281205017,2009-12-05,bkn,113,min,84
281206020,2009-12-06,phi,84,bkn,95
281210017,2009-12-10,bkn,109,ny,121
281212017,2009-12-12,bkn,79,tor,101
281213004,2009-12-13,chi,113,bkn,104
281215028,2009-12-15,tor,87,bkn,94
281217017,2009-12-17,bkn,92,utah,103
281219017,2009-12-19,bkn,121,dal,97
281220017,2009-12-20,bkn,103,mia,106
281222017,2009-12-22,bkn,91,hou,114
281223011,2009-12-23,ind,107,bkn,108
281226017,2009-12-26,bkn,87,cha,95
281227030,2009-12-27,cha,103,bkn,114
281229017,2009-12-29,bkn,87,chi,100
281231008,2009-12-31,det,83,bkn,75
290102017,2009-01-02,bkn,93,atl,91
290103014,2009-01-03,mia,101,bkn,96
290105017,2009-01-05,bkn,98,sac,90
290107017,2009-01-07,bkn,100,mem,89
290109015,2009-01-09,mil,104,bkn,102
290112017,2009-01-12,bkn,103,okc,99
290115017,2009-01-15,bkn,99,por,105
290121003,2009-01-21,no,102,bkn,92
290123024,2009-01-23,sa,94,bkn,91
290124029,2009-01-24,mem,88,bkn,99
290126025,2009-01-26,okc,94,bkn,85
290128017,2009-01-28,bkn,106,tor,107
290130001,2009-01-30,atl,105,bkn,88
290131020,2009-01-31,phi,83,bkn,85
290203017,2009-02-03,bkn,99,mil,85
290204027,2009-02-04,wsh,88,bkn,115
290207017,2009-02-07,bkn,114,den,70
290208019,2009-02-08,orl,101,bkn,84
290210017,2009-02-10,bkn,93,sa,108
290217010,2009-02-17,hou,114,bkn,88
290218006,2009-02-18,dal,113,bkn,98
290220017,2009-02-20,bkn,96,wsh,107
290223017,2009-02-23,bkn,98,phi,96
290225017,2009-02-25,bkn,111,chi,99
290301017,2009-03-01,bkn,96,no,99
290303015,2009-03-03,mil,95,bkn,99
290306019,2009-03-06,orl,105,bkn,102
290308017,2009-03-08,bkn,106,ny,101
290311009,2009-03-11,gs,116,bkn,112
290313022,2009-03-13,por,109,bkn,100
290315012,2009-03-15,lac,107,bkn,105
290316007,2009-03-16,den,121,bkn,96
290318018,2009-03-18,ny,89,bkn,115
290320017,2009-03-20,bkn,96,mia,88
290322017,2009-03-22,bkn,88,cle,96
290325005,2009-03-25,cle,98,bkn,87
290327017,2009-03-27,bkn,95,lal,103
290329016,2009-03-29,min,108,bkn,99
290330017,2009-03-30,bkn,78,mil,107
290401017,2009-04-01,bkn,111,det,98
290404004,2009-04-04,chi,103,bkn,94
290405017,2009-04-05,bkn,96,phi,67
290410008,2009-04-10,det,100,bkn,93
290411017,2009-04-11,bkn,103,orl,93
290413017,2009-04-13,bkn,91,cha,87
290415018,2009-04-15,ny,102,bkn,73
281029018,2009-10-29,ny,120,mia,115
281031020,2009-10-31,phi,116,ny,87
281102018,2009-11-02,ny,86,mil,94
281105018,2009-11-05,ny,101,cha,98
281107027,2009-11-07,wsh,108,ny,114
281109018,2009-11-09,ny,107,utah,99
281111024,2009-11-11,sa,92,ny,80
281112029,2009-11-12,mem,103,ny,132
281114018,2009-11-14,ny,116,okc,106
281116018,2009-11-16,ny,114,dal,124
281121015,2009-11-21,mil,104,ny,87
281122018,2009-11-22,ny,122,wsh,117
281125018,2009-11-25,ny,101,cle,119
281126008,2009-11-26,det,110,ny,96
281129018,2009-11-29,ny,138,gs,125
281202018,2009-12-02,ny,97,por,104
281203005,2009-12-03,cle,118,ny,82
281205001,2009-12-05,atl,98,ny,95
281207018,2009-12-07,ny,104,det,92
281209004,2009-12-09,chi,105,ny,100
281213023,2009-12-13,sac,90,ny,114
281215021,2009-12-15,phx,111,ny,103
281216013,2009-12-16,lal,116,ny,114
281219018,2009-12-19,ny,81,mil,105
281226018,2009-12-26,ny,107,min,120
281228018,2009-12-28,ny,110,den,117
281230030,2009-12-30,cha,89,ny,93
290102018,2009-01-02,ny,103,ind,105
290106025,2009-01-06,okc,107,ny,99
290108006,2009-01-08,dal,99,ny,94
290110010,2009-01-10,hou,96,ny,76
290112003,2009-01-12,no,95,ny,101
290114018,2009-01-14,ny,128,wsh,122
290116027,2009-01-16,wsh,96,ny,89
290117018,2009-01-17,ny,97,phi,107
290119018,2009-01-19,ny,102,chi,98
290121018,2009-01-21,ny,114,phx,109
290123018,2009-01-23,ny,108,mem,88
290124020,2009-01-24,phi,116,ny,110
290126018,2009-01-26,ny,104,hou,98
290128018,2009-01-28,ny,112,atl,104
290131011,2009-01-31,ind,113,ny,122
290202018,2009-02-02,ny,117,lal,126
290204018,2009-02-04,ny,102,cle,107
290208022,2009-02-08,por,109,ny,108
290210009,2009-02-10,gs,144,ny,127
290211012,2009-02-11,lac,128,ny,124
290217018,2009-02-17,ny,112,sa,107
290220018,2009-02-20,ny,127,tor,97
290222028,2009-02-22,tor,111,ny,100
290223018,2009-02-23,ny,123,ind,119
290225018,2009-02-25,ny,109,orl,114
290227018,2009-02-27,ny,103,phi,108
290228014,2009-02-28,mia,120,ny,115
290304018,2009-03-04,ny,109,atl,105
290307018,2009-03-07,ny,105,cha,114
290310015,2009-03-10,mil,112,ny,120
290311008,2009-03-11,det,111,ny,116
290313016,2009-03-13,min,94,ny,102
290315005,2009-03-15,cle,98,ny,93
290320018,2009-03-20,ny,94,sac,121
290321019,2009-03-21,orl,110,ny,103
290323018,2009-03-23,ny,102,orl,106
290325018,2009-03-25,ny,135,lac,140
290327018,2009-03-27,ny,103,no,93
290328030,2009-03-28,cha,96,ny,85
290330026,2009-03-30,utah,112,ny,104
290331007,2009-03-31,den,111,ny,104
290404018,2009-04-04,ny,95,tor,102
290405028,2009-04-05,tor,103,ny,112
290407004,2009-04-07,chi,110,ny,103
290408018,2009-04-08,ny,86,det,113
290410019,2009-04-10,orl,95,ny,105
290412014,2009-04-12,mia,122,ny,105
281029020,2009-10-29,phi,84,tor,95
281101001,2009-11-01,atl,95,phi,88
281103020,2009-11-03,phi,125,sac,91
281105014,2009-11-05,mia,106,phi,83
281106019,2009-11-06,orl,98,phi,88
281111020,2009-11-11,phi,80,utah,93
281112028,2009-11-12,tor,96,phi,106
281114011,2009-11-14,ind,92,phi,94
281115020,2009-11-15,phi,110,okc,85
281119016,2009-11-19,min,102,phi,96
281121020,2009-11-21,phi,89,lac,88
281123020,2009-11-23,phi,89,gs,81
281124030,2009-11-24,cha,93,phi,84
281126020,2009-11-26,phi,94,orl,96
281130020,2009-11-30,phi,92,chi,103
281202004,2009-12-02,chi,95,phi,103
281203020,2009-12-03,phi,102,lal,114
281205008,2009-12-05,det,91,phi,96
281210020,2009-12-10,phi,93,cle,101
281212005,2009-12-12,cle,88,phi,72
281213020,2009-12-13,phi,104,wsh,89
281217020,2009-12-17,phi,93,mil,88
281219027,2009-12-19,wsh,103,phi,109
281220020,2009-12-20,phi,94,ind,95
281226007,2009-12-26,den,105,phi,101
281229026,2009-12-29,utah,112,phi,95
281231012,2009-12-31,lac,92,phi,100
290102006,2009-01-02,dal,96,phi,86
290103024,2009-01-03,sa,108,phi,106
290106020,2009-01-06,phi,104,hou,96
290107015,2009-01-07,mil,105,phi,110
290109020,2009-01-09,phi,93,cha,87
290111001,2009-01-11,atl,94,phi,109
290114020,2009-01-14,phi,100,por,79
290116020,2009-01-16,phi,109,sa,87
290119020,2009-01-19,phi,93,dal,95
290126003,2009-01-26,no,101,phi,86
290128010,2009-01-28,hou,93,phi,95
290130020,2009-01-30,phi,104,wsh,94
290205020,2009-02-05,phi,99,ind,94
290207020,2009-02-07,phi,94,mia,84
290209020,2009-02-09,phi,108,phx,91
290211020,2009-02-11,phi,91,mem,87
290217011,2009-02-17,ind,100,phi,91
290218020,2009-02-18,phi,89,den,101
290221014,2009-02-21,mia,97,phi,91
290225027,2009-02-25,wsh,98,phi,106
290228020,2009-02-28,phi,100,orl,106
290302020,2009-03-02,phi,91,no,98
290307029,2009-03-07,mem,105,phi,110
290308025,2009-03-08,okc,89,phi,74
290311020,2009-03-11,phi,115,tor,106
290313020,2009-03-13,phi,104,chi,101
290315020,2009-03-15,phi,85,mia,77
290317013,2009-03-17,lal,93,phi,94
290318021,2009-03-18,phx,126,phi,116
290320009,2009-03-20,gs,119,phi,111
290322023,2009-03-22,sac,100,phi,112
290323022,2009-03-23,por,108,phi,114
290325020,2009-03-25,phi,96,min,88
290327020,2009-03-27,phi,95,cha,100
290329008,2009-03-29,det,101,phi,97
290331020,2009-03-31,phi,98,atl,85
290402020,2009-04-02,phi,105,mil,95
290404020,2009-04-04,phi,95,det,90
290407030,2009-04-07,cha,101,phi,98
290409004,2009-04-09,chi,113,phi,99
290410020,2009-04-10,phi,92,cle,102
290412028,2009-04-12,tor,111,phi,104
290415005,2009-04-15,cle,110,phi,111
281031028,2009-10-31,tor,112,gs,108
